id_code,start_time,end_time,duration,fork,cushion,team,grand,eat,brother,hypnotize,shirt,explode,sunday,ten,female,whole,fighter,muscle,penny,train,glasses,nurse,jesus,money,shoelace,cabinet,goal,work,allow,coat,hall,who,thirsty,words,secret,liberty,home,wagon,painting,basketball,pen,object,opening,against,print,stream,motel,radio,faith,start,cabin,balloon,title,pick,thief,agreement,property,innoncent,grave,neutron,bum,fraternity,tag,obstacle,speech
64993,10/3/10 14:21,10/3/10 14:35,14,"is a utensil, is used for eating, made of metal or plastic, stabs food, has prongs, is small","is on a couch or chair, is comfy, is stuffed with cotton, soft",sports,amazing,hunger,family,entrance,clothing,boom,day off,number,woman,all,boxing,weights,change,railroad,shades,helper,god,currency,skinny,pantry,dreams,money,help,winter,walkway,what,drink,communication,dont tell,justice,bed,wild west,art,sports,paper,item,doorway,opposing,papers,river,best western,music,religion,begin,log house,helium,front page,choose,robber,yes,function,pure,death,atom,trash,greek life,sticker,hurdle,communication
64072,10/3/10 14:24,10/3/10 14:49,25,utensil four prong is metal is plastic used to eat,is soft used on bed used on couch used to sleep on,a group of individuals working together toward a common goal,a type of piano an adjective a street name in springfield,what you do with food,a sibling,a form of controlling someone,an article of clothing worn on the upper body,to blow up a bomb,a day of rest a day to go to church a day to watch football the start of the week,the number after nine five plus five,a gender,the total of something,someone who fights in a war or any type of fight,what you use when you lift weights what guys try to make bigger,one cent abraham lincoln copper,a dying form of transportation,a frame with lenses to help you see,the first person you see at a hospital assists the doctor,God's only son,form of currency needed to operate in today's society,what you tie your shoes with,where you put things to store them,a score in soccer or hockey,where your job is where you make money,to let someone do something,what you put on when it's cold,a long section in a building that you walk down,a word that means the person you're talking about,how you feel when you get thirsty,the basis of a spoken language,something you don't want people to know,freedom word used in the constitution,where you live where your family is where you sleep,an old form of transportation used to go out west pulled by oxen first baby toy little red wagon,a form of art work using paint,a sport played in grade school high school college and professional LeBron James plays,a permanent writing utensil comes in black blue green red and every other color,something that you can pick up,a hole,to be opposed to,what a printer does,a little river,place to stay on trips,a way to listen to music a form of broadcasting music,a form of believing often used with religion,to begin the beginning of something,a house in a forest made out of logs,a rubber thing that you fill up with air usually helium so it can float,what you are defined as,used for afro used for ice used for hair,someone who steals from others,when two or more people come to terms about something,something you own,free of guilt you didn't do anything wrong,where people are buried after they pass away,a particle,another word for your rear end,group of men hazing lots of drinking and partying,something that describes an item that you're buying,something that gets in the way,statement given to someone a class using your mouth to talk
64786,10/3/10 16:16,10/3/10 16:44,28,"pointy, used to eat","soft, couch, chair","tennnis, sport, group of people","thousand, big, extravagant","food, dinner,","boy, younger,","relax, swirl, sleep,","t-shirt, colors,","volcano, erupt,","beginning of the week, relax","child, elementary school","girl,","half, pizza, complete","boxing, firefighter, wrestling,","bone, body, strong,","copper, one","choo choo, tracks, cargo","vision, round, help see","hospital, doctor office, job","religion, easter, long beard","green, cash, coins,","tennis shoe, string, laces","wood, storage, kitchen, bathroom","sports, net, made of string, has holes, goalie","job, money","belong, permission","winter, heavy, warm","way, doors, walkway","what, where, when, why","drink, dehydrated","book, reading,","garden, whisper, confidential","bell, america, statue of liberty","family, comfort, good food","red, pull, kids","paint, bright colors, artist","sport, winter, orange","write, different brands,","noun, inanimate","ceremony, close, store","controversy, for","printer, typing, paper","water, woods,","hotel, rundown, cheap","music, fm, car","religion, believe,","go, finish, begin","log, woods, winter, fall","red, pop, air, big","book, magazine","apples, peaches, choose","villian, jail, robber","contract, neogiation, signature","land, house, belongings","child, girl,","funeral, death, hole","chemistry, science, atom","butt, dissappointed","guys, greek, college","game, children,","course, in the way, get over or around","talking, boring, class"
65191,10/3/10 20:49,10/3/10 21:13,24,Used to eat Food Used to pick food up Spiked,Used to comfort a seat padding,players who play together with common purpose,"Nice, respected",food put in mouth and swallowed,"Boy, sibling",theory,"Cloth, holes for body parts",Blow up,"day, day of worship",Number,"Girl, Mother",no missing parts,"mad, upset","inside body, red","Coin, copper, payment","carts, travels, uses tracks","To help eyes see better, focus","Doctor, helps injured","God, Religious","paper, green, value",Cloth used to keep shoes on,"storage,",Plan,"tasks, earn money",okay the action,"cloth, keeps bodies warm",Connects rooms to each other  passage way,person,"Need of water, dry throat","Letters put together, communication",Information not supposed to be shared hidden,freedom,place to live,carrier of items,"color on paper, art","rubber, orange, black lines","Write, ink",item,Hole Something to travel through to get to another spot,"Touching, abbrasion",ink of paper,"Water passing, smaller than a river","place to rent to stay, on side of highway",sounds,"Religion, Hope","Begin, for forward with","house, wooden, used in countryside","Rubber ball containing air, helium, flies","Label, Summarization",chose,"Steals, Takes aways",two or more sides,Land owned,not guilty,"Concrete, Marble, site for burial",Science,"No money, needy","college students, boys",Label,Something in the way of achieving a goal,talking
64318,10/4/10 10:35,10/4/10 11:06,31,"metal, pronged, plastic, different in size, meant for specific portions of the meal, used to eat with, used to poke, used to proad, used to keep something stationary","thick, thin, colored, soft, hard, placed on a chair, placed on the floor, round, square, make something more comfortable","sports, hockey, baseball, football, basketball, volleyball, boys, girls, rules","street. money, over the top, amazing","food, fruit, veggies, meat, dairy","realitive, pain, love, hate, fight, older, younger","out there, far fetched, person, feelings","clothing, something to wear, outter layers","bomb, drama, something gone wrong, death","relax, church, football, family day","double digits, measurement, scale","longer hair, makeup, boobs, well kept","wheat, part of something, all of something, the entire thing, grain, food","boxer, boxing ring, sport, past time, blood, brusies, trying to overcome the other","hard work, men, body building","money, name of a person, good luck, heads, tails","transportation, tracks, polar express, old days, coal","to drink from, make a table look nice, to see out of, improve vision","help, comfort, helps doctors, hospital, doctors office","lord, savior, sin, cross, sunday, church","wealth, accomplishment, power, able to buy things","shoe, feet, to keep on, color, size, width","organization, place to hold things, keep from sight, wood, metal, big, small","soccer, basketball, football, points, something to strive for","money, time put in, part of life, not always fun, hard,","ok, it can happen, doesn't get stopped","warmth, layers, cold, mountians, snow, sleet, rain,","to walk down,  live in, to get from one place to the other",person,"water, soda, what the body needs","meaning, gives life to things","hide, keep from someone, between people, hurtful,","usa, right to do things,","sweet home, house, shelter, comfort, parents, saftey","kids, to haul stuff, pull, ride in","change, makeover, relaxing,","athletes, boys, girls, teams, rules, sweat, blood, tears, bruises,","paper, used to write with, keeping record","atoms, made of something, used for something","closing, start of something,door, beginning","all odds, leaning,","paper, copy, written down, advertisement","river, fish, animals, something to play in","beds, rooms, home away from home, tv, one night stands","music, talk show, commericals","church, something that you believe in, Sunday, Wednesday, believing in a higher power","to begin something, looking for an end, go,","lake, woods, warmth, comfort, logs, fireplace","decoration, kids, helium","of a book, paper, name of something","christmas tree, decoration, something for your hair","criminal, in need of something,","agree to do something, agree with someone.","something you own, land, clothing, personal belongings","children, not guilty, looking","sad, death, 6 feet under, dirt, earth,","sciene, atoms, protons","someone on the street, lazy,","boys, parties","mark price on clothing, mark size on clothing, a game played by young children","something to get around, in the way, overcome","talking, presenting, making your point"
63433,10/4/10 12:50,10/4/10 14:31,101,"used to pick up food to eat, made of metal, made of plastic, sharp, relatively long and skinny, used to puncture things, washable.","soft, used to sit on, sometimes on a couch or sofa, can be used as a pillow, vary in different sizes, can be plain or very intricate in design.","group, sports, school, debate, working together to accomplish something, team work.","large, extravagant.","to consume food, to gain nutrition, everyone does it, humans, animals, plants, food.","boy, annoying, associated with sister.","put people to sleep, to get things out of a persons unconscious, hypnotist, associated with fortune tellers and palm readers.","different colors and sizes, something to wear, cost money, people wear them, for all ages, made from different materials, create your own, make your own.","bombs, to demolish, flavor, a describing word.","holy day, first day of the week, church, worship, family, family dinners.","a number, counting, an age, a time.","girl, woman, women, dresses, birthing children, skirts, bras, long hair, shaves legs, pretty.","circle, not cut, 2 halves, fruit.","fire, boxing, violence, freedom, wants something really badly.","meat, large or small, can be built up, body builders, arm wrestling, lifting weights, sports.","cents, one cent, money, abraham Lincoln, change, not used much anymore.","loud, whistle, tracks, railroad, travel, carries goods, people can ride, conductor, train sets, children, toys, choo choo.","to be able to see clearly, big or small, different styles and colors, different prescriptions, made of glass.","helps a doctor, mostly female, hospitals, check ups, helps people, makes good money, lost of schooling.","holy, savior, associated with God, mary and joseph's son, died for our sins, perfect, sinless, helped people, performed miracles, healed people, died on a cross, was persecuted, loved everyone.","used to buy things, everyone wants it, work for it, win it,","used to tighten a shoe, different sizes, different colors, different lengths, ties into a bow or a knot.","in kitchens, in offices, made of wood, storage, files, food, cups and plates, can hide things in them, up off the ground.","a set thing to accomplish, soccer, football, hockey.","to get money, to help the family, different attire, 9 to 5, many people involved","to be able to do something, parents, teachers, laws, government, rules.","something to wear, long sleeved, warm, cold weather, varies in cost, winter, snow, coat rack, closet, different styles and fabrics, different colors.","dinning, long space between rooms with doors, school, homes, buildings.","the word creates a question, refers to a person, gets confused with the word whom.","to want something to drink, mouth is dry, need water.","written, spoken, made up, different languages, taught, reading, big or small, easy and hard to understand, have meaning.","something that is not to be told, people keep them, everyone has one, people tell them to others, something important.","bell, statue, freedom, our country.","family, a place to live, house, parents, couples, where the heart is, a safe place to go, love.","red, children play in them, prairie, amish, old days, covered, horses, large or small wheels.","to paint something, paint, wet, artist created it, lots of money, famous painters, different colors, an action.","sport, team, players, ball, hoop, court, money making, arena, schools, competitive, to score points.","ink, to write words, to draw, used on paper or other writing materials, different styles, fits in your hand, clicks, different colors of ink, stains.","a thing, everything not living pretty much, tangible.","a part in something that has a hole in it, to be able to get something out.","to not agree with, to form sides, rebel, oppose.","not cursive, paper, news, writing, used to learn how to write.","water, small, in the woods, pretty, peaceful, rocks, flowing, salamanders, small fish, animals drink from it.","cheap, a place to sleep, room service, maid, in every city and town, vacations.","listen to music or talk shows, can win prizes from them, different stations, sometimes fuzzy, can listen to it anywhere.","to believe, to know something is real, associated with religion and God.","the beginning, has an end, races, time, starting line, new.","wooden, in the woods, by a lake, expensive, vacation.","different colors and materials, big or small, filled with air, filled with helium, pop, floats, deflates, balloon animals, clowns, birthdays, celebrations, words on them, car lots.","books, name, class, papers, essays, stories.","to choose, to gather fruit like blueberries, to decide.","takes things that don't belong to them, going to jail, getting caught, male, bad home life, does anything to get what they want, wears black, criminal, should be punished.","both people are on the same page, a written document, compromise, being nice to one another","something to be owned or sold, building on it, houses, personal, community, grass field, private.","young, pure, not knowing of worldly things, does the right thing, cute, sweet, children, animals.","put people in the ground, hole in the ground, gravestone, death, funerals, cemetery, dirty, halloween, dirt, casket.","part of science, part of electricity.","homeless, not clean looking, needs money, lazy.","brotherhood, mostly a male organization, greek letters, greek society, in colleges, pledges, rushing, group.","on clothing to tell the price and the brand, to touch someone in a game, to mark an animal to show ownership.","something to overcome, a challenge, a coarse.","how a person says something, classes, pronunciation, words."
63733,10/4/10 14:04,10/4/10 14:45,41,"tool, eating, pasta, pitchfork, in a kitchen, utensil, spoon, spork, knife, metal, pointy, everyday object, common, bendable, kitchen appliance, meal time, humans use them","soft, fluffy, couch, chair, typically found in homes, can be hard, comfy, soft, stiff, covered with fabric, found in living/family rooms, makes stools more enoiable,  optionable for outdoor seating, colorful fabric coverings","parts of a whole, athletic team, business team, academic team, working together for one goal","street name, wonderful, awesome, positive, achievment","food, hunger, food can be nasty or delicious, americans eat too much, diets can be heathly or unhealthy","best friend, kind and trustworthy, someone i can talk to, someone i love unconditionally","lsd and other hallucinogenic drugs, hypnotist, mesmerizing, colors","clothing, white v-neck, necessary to wear at public facilities","messy, catastrophic, deadly","day of rest, church, family day, boring at times, sunday dinner with the family","perfect ten, ten fingers and toes, ten is an appropriate number to have on a volleyball team","high standards brought on by society, beautiful or must try to be so, mothers, underpaid and underprivileged",all of something,"tough, armed forces, doesn't give up, cancer survivor, tough,","made of tissue, strong, bodybuilder, healthy","not worth that much, considered lucky when found heads up, understated by the general population","industrial revolution, men working on the railroad, goods and people being transfered, loud whistles, they make traffic stop, they make me late, scary, involve many car addidents","for vision, breakable, many different designs","mean, life savors, do a lot of prep work for doctors, cheery, lifesavers","holy, free from temptation, heaven and hell, afterlife, prayer, free will, saving grace, half man half god,","wealth, happiness, people want it","shoe laces are typically white but come in different colors and designs, they keep shoes on","a place to keep dishes in the kitchen, efficient way to store goods","something you want in a soccer game, something you work for individually or with a group of people, many people set goals for themselves, personal achievment","not fun, we go to college to get a job","let something happen, being okay with something","warm, come in many colors and styles, some are expensive and others are inexpensive, they keep you warm, some have fur, some have designs, some are puffy","residence hall, classes, school, buildings, long","wanting to know who someone is, a rockband who sang pinball wizard","water, hydration is necessary","words make paragraphs and papers, different words mean the same thing, words come in many different languages, words trigger emotions, words are used to express emotions","gossip, deceiving","freedom, america, decleration of independence, john hancock, george washington, thomas jefferson, ben franklin, revolutionists, unfair taxation","where you live, where your family lives, anywhere you feel comfortable","red waggon, childhood, farmers use wagons, horses pull wagons","good and bad, artist, finger painting, color, mixing colors, messy at times, expressive","sports, tall, not fun, big shorts, three pointers, rap music, sweet sixteen, drake and slu are basketball teams","ink, typically blue, black and red, important for school, jell pens, colored pens, chewed on, clicky, ballpoint, advertisement space","versitile, broad term, can be harmful, can be deceiving, can be loving","beginning, start, opening act in a play, opening gifts,","not for, opposing side, rebellion, fight","type, computer printer, not always legible","river, music radio waves, lake, nature","hostel, staying the night on a road trip, scary, steril, creepy because other people have slept there, uninviting, dirty at times","music, driving while singing, a movie with cuba gooding jr., type of wave, communication tool, wide variety of music and talk shows, morning sports on the way to school, disagreeing with talk show hosts, singing like no one is watching","believing in something strongly, god,","begin, starting a race, starting homework, you have a lot ahead of you, people typically have the intentions of finishing after starting","after prom, place to stay in the woods, they","hot air, 99 red balloons, balloon animals","beginning of a paper, reason for the paper, head of something, earned credibility--what you are called after earning a degree of some sort","choice, picking your nose, sports team you choose to win, cleaning up, decision","steal, lie, cheat, taking from a convenience store, punishable, frowned upon","two or more people, argument/dispute leading to it, sacrificing something you like, pleasing otheres, giving in, working for the betterment of a whole","ownership, many strive to own his or own home, people are valued by what they have","good, may see innocent although not","death, tombstone, sad and depressing, meloncholy","jimmy neutron was a show on nickelodion, neurtal part of an atom, the world is full of them","hurt, burns typically leave a scar, you can burn food","brothehood, parties with kegs, college life, conformity","a game played by adolescents, put on luggage when checked in an airport","obstacle course, jungle gym, tire jumping,","speech impediment, confidence, charisma, some people speak with an accent"
65215,10/4/10 14:19,10/4/10 14:30,11,"silver, 3 prongs, found in kitchens, used for eating","large, soft, on couches","work together, learn, play together","large, extravagent","food, chew, swallow, teeth used","male, older or younger, same parents","unconscience, controled","over mid section of body, clothing, every size and color","bomb, erupt, mess","relax day, before monday, after saturday","number, after nine, before eleven","boobs, vagina, long hair","entire thing, everything","hurts people, hates people, rude, brutal","tissue, buldge, strong","copper, round, small, money","tracks, transportation, long","eye helpers, drink out of","care taker, assistant","christian, old, god","necessity, green, coins, paper","ties, aglet, holds shoes together","wooded, kitchen, bathroom","can be scored, can be acheieved","jobs, hard, earn money",permit to do,"worn to keep warm, winter clothing","walk way, doors on sides","person, group of peopl","parched, water, juice","spoken, heard, written",private,"statue, pride,","living, family, rooms","red, four wheels, wooden, handle","putting on color, wood, cement,","round, orange, put into hoops","write, ink, paper",anything,"beginning, tear apart","not for, fighting with","put on to paper, with ink","small river, moving water, rock bottom","cheap, dirty","music, sound waves","religion, trust","beginning, to be finished","small house, logs, in woods","air, tied, floats, helium","name, introduces something","choose, decide","steals, criminal","same idea, not disputing","owned, car, house","not guitly,","tombstone, hole in ground, barried in","electron, proton, atom","lazy, dirty","brothers, messy, all boys, service, parties","price, on clothes, in a picture","road block, something tough","crowd, presenting"
63196,10/4/10 17:34,10/4/10 17:49,15,picks up food,is soft,everyone together,something that is good,fuel for the body,can be older,is a mind trick,made of cotton,has a loud noise,is a lazy day,comes after 9,has x chromosone,has all its parts,in a cage,allow movement,copper color,fueled by coal,used to see better,works with doctors,is a man,makes the world go round,holds on shoe,allows for more storage,shouldn't be set to high,done by people,to grant,protects from the elements,able to be walked down,can be anyone,is when we need a drink,form sentences,should be shared,granted in America,were you live,is able to be pullled,tedious work,is round,able to write with,has mass,happens at a store,not going with,comes from a printer,is a flow of water,is a cheap hotel,is in cars,belief in something,the beginning,is in the woods,made of plastic,main idea,something yuou want,takes what is not theirs,an understanding,something you obtain,hard to determine,after dead,contains protons and nuetrons,sleeps on the street,is a brotherhood,is put on clothes,obstruction,the ability to communicate
63568,10/4/10 17:43,10/4/10 18:02,19,"long, silver, prongs, eating utensil",soft fluffy comfortable,sports,"big, awesome","food, alot, fat",sibling,mind game,"cotton, tshirt, clothing","get mad, went everywhere","church, brunch","minutes, number, dollars","girl, gender, woman","complete, grain","solider, tough, brave","buff, strong","coin, money, brown","wreck, travel","eyes, drinking glasses","helps the doctor, gives you medicine","Christ, Lord","what we want, green","white, shoes, long","wood, kitchen","aim, dream, soccer goal",doing something productive,giving permission,"keeps you warm, leather coat, fur",in a house,what where,"drink, water",what we say and write,"news, friend","statue of liberty, social studies","where you live, family","red with wheels, children playing","colors, wall","court, player, practice","ink pen, writing",any item,pathway,"war, fighting","computer, papers","water, flow","sleep, travel",am fm,"religion you believe, Catholic",a race,"log, brown, woods",kids birthday,name of something,"hair comb, choosing","robber, criminal",saying yes,"owning, territory","shy, modest","yard, tombstone, scary",science,"hobo on the streets, loser",college,"along, children game",barrier to something,"president, talking"
