Semantic Data S00313

Practice:

finger fingernail

couch pillow

Experimental:

acoustic music

ageless timeless

alkaline battery

assault beat

award win

beautician ugly

bicep arm

bitterness sad

bonehead pebbles

brigade stop

bronco truck

buoy no claw

burned 3rd degree

butter bread

chevron truck

chromium gold

concern worry

confusion life

consume eat

cultural ethnic

direction wrong way

eavesdrop listen

exhale breathe

facet sink

fbi Elliott

feint lie

finalize finish

handlebars bike

held hand

immortal alive

indication dictation

investor money

Japan Tokyo

juice orange

jump high

lie lay

lock door

lovesick boyfriend

manipulative sneaky

monotone annoying

offstage onstage

ostracize big

panorama view

pocketbook purse

profound absurd

promote show

prospect look

recliner chair

right wrong

robust ridiculous

Santa Claus

shut open

slangy cuss

suppose opinion

surprise exciting

surreal life

torch flame

tout all

transformer the movie

typescript keyboard
